id,employee_id,Salários,Data Inicial,Data FInal,Bonus,Criado_em,Upload_em
0ef746d9-7533-4091-819c-8af30c02c151,a16a156e-aa4a-40c5-94a4-4bea0f443f39,"2100,00",2014-05-23,2022-04-01,,01-30-2023,01-30-2023
e26301c2-e9f9-4479-b04a-fd19de94eeda,a16a156e-aa4a-40c5-94a4-4bea0f443f39,"2186,31",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
afea7dc9-a7d8-4301-8b5d-6a94b4bfb0a1,a16a156e-aa4a-40c5-94a4-4bea0f443f39,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
23b10056-5d58-4373-bb2a-c9202de33c49,727208ef-44e7-4c85-8c25-199f7011e9f5,"2740,00",1981-10-27,2022-04-01,,01-30-2023,01-30-2023
2ca0661e-434f-49e9-a084-a89c4ae1f671,727208ef-44e7-4c85-8c25-199f7011e9f5,"2922,48",2022-04-01,,,01-30-2023,01-30-2023
7a9d9d0b-8ec4-4d6a-a168-4a9029fc854e,ad64f750-8850-444b-9bb1-536951a1819d,"2100,00",1993-06-25,2022-05-01,,01-30-2023,01-30-2023
8c26857e-5447-4af5-b767-a4aedc66a340,ad64f750-8850-444b-9bb1-536951a1819d,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
f9259090-d13e-407d-ac75-6b0ab8d6f3c8,945e364e-0bc3-4ec7-a693-32fc0f8db8a1,"2100,00",2006-02-02,2022-04-01,,01-30-2023,01-30-2023
3fe8e8fe-b7e1-4939-8ba3-71214de0805a,945e364e-0bc3-4ec7-a693-32fc0f8db8a1,"2186,31",2022-04-01,2022-04-02,,01-30-2023,01-30-2023
f235cda6-ea07-4da0-889f-5cdfdcd45de9,945e364e-0bc3-4ec7-a693-32fc0f8db8a1,"3300,00",2022-04-02,2022-05-01,,01-30-2023,01-30-2023
31512468-9407-447a-9ee6-47ec2ce20a5a,945e364e-0bc3-4ec7-a693-32fc0f8db8a1,"3435,63",2022-05-01,,,01-30-2023,01-30-2023
6a442178-4408-4b39-95f3-ee9d4051d71c,f5fcda1f-5ef0-4e87-9768-70e048f232ae,"2100,00",2018-09-08,2022-04-01,,01-30-2023,01-30-2023
f55a538b-a0f5-4f28-b9c8-9be334ac79fd,f5fcda1f-5ef0-4e87-9768-70e048f232ae,"2151,45",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
86046855-f972-4ba8-b0ce-635b6b949189,f5fcda1f-5ef0-4e87-9768-70e048f232ae,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
8e9bb308-b5d3-4ee7-8830-1231b7e609be,9ecf4b0d-f2c6-43a6-bc78-9aec6feea1ae,"2100,00",1989-09-25,2022-04-01,,01-30-2023,01-30-2023
d561d9eb-fb0d-4b13-9131-54ac6e6c8343,9ecf4b0d-f2c6-43a6-bc78-9aec6feea1ae,"2186,31",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
0a2feeee-3684-4260-a757-363c87726228,9ecf4b0d-f2c6-43a6-bc78-9aec6feea1ae,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
27e16b45-05c8-4f4a-a929-2497f6cbb504,9aa8a752-61db-460f-8595-1c72d2d7160b,"2740,00",1988-07-16,2022-04-01,,01-30-2023,01-30-2023
377de2cf-cdcf-4737-be6f-968400806380,9aa8a752-61db-460f-8595-1c72d2d7160b,"2922,48",2022-04-01,,,01-30-2023,01-30-2023
5a957a1d-7b50-4af8-9f36-38075b98f97f,4e6cd5ab-b8dc-45b1-a1a8-d33b35f5d574,"2100,00",2021-02-05,2022-05-01,,01-30-2023,01-30-2023
1d4583ef-05a7-4d3b-a918-ebeed6f1ef3c,4e6cd5ab-b8dc-45b1-a1a8-d33b35f5d574,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
d349c1b0-a501-4a46-8c10-48c42326d00a,a17c88e3-71f9-4ec8-9020-3a0fd5e23557,,2021-10-26,,,01-30-2023,01-30-2023
af2c1ebb-6900-41f2-abd5-82d6db82f8d6,9b0bb00b-b00d-4dfd-ab6e-2958fb0eabac,"2100,00",2012-11-23,2022-04-01,,01-30-2023,01-30-2023
15912a6e-668f-4de2-bcae-875fe33ef997,9b0bb00b-b00d-4dfd-ab6e-2958fb0eabac,"2186,31",2022-04-01,2022-04-02,,01-30-2023,01-30-2023
7d45cb64-4605-4219-8091-b1b9882784eb,9b0bb00b-b00d-4dfd-ab6e-2958fb0eabac,"3300,00",2022-04-02,2022-05-01,,01-30-2023,01-30-2023
e3b06284-1539-4679-8b8c-a1eb3001bc26,9b0bb00b-b00d-4dfd-ab6e-2958fb0eabac,"3435,63",2022-05-01,,,01-30-2023,01-30-2023
c837bc9e-ae86-4035-b54f-51e3d7559b00,d0927ff2-bd4a-426a-bc35-234aeff7ad9c,"2100,00",1974-10-30,2022-04-01,,01-30-2023,01-30-2023
29d62889-dc21-478b-a5ee-04e5b63e429a,d0927ff2-bd4a-426a-bc35-234aeff7ad9c,"2151,45",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
2dbac239-1425-41d9-ad6e-a03d866792a0,d0927ff2-bd4a-426a-bc35-234aeff7ad9c,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
230005b7-7472-41f0-8545-be1e5fdca8ee,d747296e-ad6b-4348-bf4d-2af946bb7266,"2100,00",2017-04-11,2022-04-01,,01-30-2023,01-30-2023
1472eb7e-08dd-418f-92ce-8c13d67abf4f,d747296e-ad6b-4348-bf4d-2af946bb7266,"2186,31",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
14de483e-e12c-4c35-bb2e-e5b77156cdc5,d747296e-ad6b-4348-bf4d-2af946bb7266,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
5c835309-a6cc-46ef-b5da-6cb1968f8c1d,e60744d6-6ad2-4bc8-a720-e822eaa8998a,,1978-08-18,,,01-30-2023,01-30-2023
cc5ceabf-02c6-4eed-bd5a-9208b7316210,1d460a8d-833b-4096-b3eb-ed691e6b932a,"2740,00",1979-10-03,2022-04-01,,01-30-2023,01-30-2023
7aa990d6-cc59-42dd-8d85-e33c87924dc7,1d460a8d-833b-4096-b3eb-ed691e6b932a,"2922,48",2022-04-01,,,01-30-2023,01-30-2023
985a4425-8473-4365-9003-52f3342b1933,1fe76ff6-e440-4509-b709-bb075c67150c,,1988-07-06,,,01-30-2023,01-30-2023
d94971bc-746b-4a8d-9ef0-a3837b34f453,df8a9fb9-b537-4b1b-992a-1068a04d8198,,2002-10-23,,,01-30-2023,01-30-2023
e353d797-85be-4f35-a15e-dd44a7af86e7,f242f9a5-c259-48e9-afe7-af6e9efce53f,,1997-02-25,,,01-30-2023,01-30-2023
02bd1b5c-aa0f-4204-801b-b5a25d8ce442,d288247a-1fe6-43ab-8a9a-b72003476d2e,,1994-04-23,,,01-30-2023,01-30-2023
7052041d-451f-4743-ac6e-8ca3148c4bf4,1819226c-dba5-4d3c-abb0-a77fdda215d8,"2100,00",1994-09-03,2022-05-01,,01-30-2023,01-30-2023
551df2e4-fbac-4b8c-ad4f-b94ef94778dc,1819226c-dba5-4d3c-abb0-a77fdda215d8,"2276,40",2022-05-01,,,01-30-2023,01-30-2023
f0c9c917-8ae3-4ae9-b206-bf0e28347c8c,2bade1bf-65b1-422f-b7b0-a53b113f2248,"2100,00",1996-03-11,2022-04-01,,01-30-2023,01-30-2023
b364a2f9-6675-4377-87df-9e505a41ab27,2bade1bf-65b1-422f-b7b0-a53b113f2248,"2186,31",2022-04-01,2022-04-02,,01-30-2023,01-30-2023
4e4483d0-ef5a-4666-a339-da1788ce2f2f,2bade1bf-65b1-422f-b7b0-a53b113f2248,"3300,00",2022-04-02,2022-05-01,,01-30-2023,01-30-2023
7c7614f3-8b64-4081-9ec1-cb8ed97b20be,2bade1bf-65b1-422f-b7b0-a53b113f2248,"3435,63",2022-05-01,,,01-30-2023,01-30-2023
3703be77-d98c-42e1-848a-07860d30b34f,94335941-32e7-4281-bc54-75438a1bb359,"2100,00",2017-08-01,2022-04-01,,01-30-2023,01-30-2023
91f44334-8933-427e-8352-a3a19fee3795,94335941-32e7-4281-bc54-75438a1bb359,"2151,45",2022-04-01,2022-05-01,,01-30-2023,01-30-2023
