id,Nome Cargo,Senioridade,Setor,Criado_em,Upload_em
5a1982d9-107e-411a-88b0-991113a95b8f,Auxiliar de serviços gerais,PLENO,Marketing,01-30-2023,01-30-2023
30926fe1-2fea-455e-b850-1051dad7016d,Montador de negativos,PLENO,TI,01-30-2023,01-30-2023
e605ce44-652d-439e-8389-e6accb925f2e,Agente de defesa sanitária,PLENO,RH,01-30-2023,01-30-2023
3af79a73-2323-428d-9b19-7bed16a2f84e,Mestre cervejeiro,PLENO,Administrativo,01-30-2023,01-30-2023
22c00a7b-a0d6-4907-bf80-14a1a2728210,Designer gráfico,PLENO,RH,01-30-2023,01-30-2023
9ae357f6-e1a0-4268-865b-88487728ec59,Marceneiro,PLENO,Vendas,01-30-2023,01-30-2023
2f3a9353-17a6-4722-a64c-d4e5f5539817,Jogador de vôlei,PLENO,Administrativo,01-30-2023,01-30-2023
52d2afff-fa2f-44bc-a6b5-fc8566f4c373,Cortador de cana-de-açucar,PLENO,Vendas,01-30-2023,01-30-2023
36e55d80-cc9b-407a-9f33-bb315c2a40de,Tecnólogo em negócios imobiliários,PLENO,Marketing,01-30-2023,01-30-2023
a3bd6354-7e02-4f97-abb4-844c9f9d1446,Ombudsman,PLENO,TI,01-30-2023,01-30-2023
d4888f2e-260e-420a-a6a8-c1a0eff7a8fd,Alfaiate,PLENO,Vendas,01-30-2023,01-30-2023
2e4b8f1a-ddda-4133-8f43-dc1fe432f734,Químico,PLENO,Vendas,01-30-2023,01-30-2023
f4a52b2c-20cc-4568-8938-976aa1a7f31b,Capitão,PLENO,Marketing,01-30-2023,01-30-2023
71381fbc-9c3c-4347-9ded-295a5f96d399,Controller,PLENO,RH,01-30-2023,01-30-2023
b5940293-8cf4-459c-b161-290c34c3d89e,Bartender,PLENO,Administrativo,01-30-2023,01-30-2023
0983bac0-64f6-4aaf-9cbd-0ff820a98014,Representante comercial,PLENO,Marketing,01-30-2023,01-30-2023
4ba325ea-256c-4b4c-b9eb-ea871b0bb8ff,Coveiro/Sepultador,PLENO,RH,01-30-2023,01-30-2023
e7e08420-1987-4817-9247-19e64494f277,Babá,PLENO,Administrativo,01-30-2023,01-30-2023
cee286b1-bb49-4648-a194-7b9f76afb2bf,Headhunter,PLENO,RH,01-30-2023,01-30-2023
6de24981-0bc0-4bae-be3c-e30ba971dd81,Tapeceiro,PLENO,TI,01-30-2023,01-30-2023
743160f2-a5f4-4a10-b86a-8c2925fbb8f1,Moleiro,PLENO,Administrativo,01-30-2023,01-30-2023
7826a629-d4e0-40a6-a174-8dfdb856569f,Paparazzo,PLENO,Marketing,01-30-2023,01-30-2023
af994d41-e63b-425d-af2f-7d193c2801f7,Veterinário,PLENO,Administrativo,01-30-2023,01-30-2023
0236f6a5-2369-4868-b987-0ff3a06d616c,Tecnólogo em produção Sucroalcooleira,PLENO,Vendas,01-30-2023,01-30-2023
a779ecd7-a27e-4288-95cb-1971994493d6,Administrador de redes,PLENO,Vendas,01-30-2023,01-30-2023
f7348603-9a81-4afe-895c-4d88ffefc5ff,Cadista,PLENO,Vendas,01-30-2023,01-30-2023
03daa50e-2453-4c99-ad2f-42ff5766c79f,Geofísico,PLENO,Vendas,01-30-2023,01-30-2023
b1c63e56-0912-4252-b983-9ae3ae7cd333,Tecnólogo em tecnologia da madeira,PLENO,RH,01-30-2023,01-30-2023
465d6240-28bb-40bd-a078-d0beae4506b6,Vendedor,PLENO,Marketing,01-30-2023,01-30-2023
c309098c-28b5-47e0-a84d-81b71334d557,Almoxarife,PLENO,Administrativo,01-30-2023,01-30-2023
6c28f9ba-867c-4062-a3d6-80f06e4935ef,Vigilante noturno/diurno,PLENO,TI,01-30-2023,01-30-2023
6441c08b-af01-4b5b-80f5-cf1ef4e40945,Agente de defesa sanitária,PLENO,Administrativo,01-30-2023,01-30-2023
9d9034e8-c5ed-479b-b36b-584dd00e9450,Necromaquiador,PLENO,TI,01-30-2023,01-30-2023
0f1631fb-b479-4ed3-8c0a-924751b53271,Instalador de painéis,PLENO,Marketing,01-30-2023,01-30-2023
96970fbb-d8c4-43f7-977e-267764075044,Senador,PLENO,Administrativo,01-30-2023,01-30-2023
299ec477-f6b9-4cfa-bdae-bbfc7ee451f4,Lutador de karatê,PLENO,Marketing,01-30-2023,01-30-2023
d6054986-82ef-45c4-ba34-73260370f277,Cozinheira,PLENO,Administrativo,01-30-2023,01-30-2023
5971f45f-7bb3-4471-9586-3b4560ca2d6b,Mensageiro,PLENO,RH,01-30-2023,01-30-2023
f6b51d34-2e9c-4bb5-8982-3a0093315856,Técnico em hardware,PLENO,TI,01-30-2023,01-30-2023
6db22e44-7c33-473d-bfee-9a7ea3a72d8b,Biotecnólogo,PLENO,RH,01-30-2023,01-30-2023
945e990a-5a87-43f9-8154-8af069adb195,Engenheiro de processos,PLENO,Marketing,01-30-2023,01-30-2023
77971d96-9a03-4eea-aaa8-7a9b39fb6a20,Pescador,PLENO,TI,01-30-2023,01-30-2023
dd08e70f-35e4-454d-80e5-0fcaeaa1779b,Crítico,PLENO,Marketing,01-30-2023,01-30-2023
dfc83199-7daa-4120-8772-e46e21029e29,Engenheiro químico,PLENO,RH,01-30-2023,01-30-2023
a12119a7-abb3-4660-90ce-853d5cbc5c23,Torreiro/Torrista,PLENO,Vendas,01-30-2023,01-30-2023
ac4d48c3-233c-447d-aab7-c89113b64f9b,Lutador de karatê,PLENO,Marketing,01-30-2023,01-30-2023
2b6ae459-8fab-49c1-9231-4ee20261f0dd,Bartender,PLENO,Marketing,01-30-2023,01-30-2023
20e883e8-2132-4430-9da4-57b73836e647,Tenente,PLENO,RH,01-30-2023,01-30-2023
706fc6ea-829d-4c80-a4fc-c279f247d92f,Empresário,PLENO,Vendas,01-30-2023,01-30-2023
f47f624a-cc1f-4b9f-afd4-8ff824242aa7,Engenheiro de supply chain ou logística,PLENO,TI,01-30-2023,01-30-2023
3e27272d-7654-4623-9002-9945bdacc984,Coloproctologista,PLENO,Vendas,01-30-2023,01-30-2023
add5c16d-cd4c-44f7-9efe-520d6d636615,Cancerologista ou Oncologista,PLENO,RH,01-30-2023,01-30-2023
2926df60-62c8-413c-830c-3facabb033ba,Contra regra,PLENO,Administrativo,01-30-2023,01-30-2023
30539d38-4f23-4f70-b56b-7cb86f86a42a,Policial federal,PLENO,Vendas,01-30-2023,01-30-2023
91c03518-4c1b-4ca0-bd65-19465babb44c,Fresador,PLENO,Administrativo,01-30-2023,01-30-2023
1f191cbb-13b5-4a3c-9560-536059778d35,Engenheiro químico,PLENO,RH,01-30-2023,01-30-2023
8003e76b-4932-4bd3-9d38-1e2038a201af,Necromaquiador,PLENO,Administrativo,01-30-2023,01-30-2023
524ac590-e02a-4e3f-a71a-16afc40537fc,Diagramador,PLENO,Vendas,01-30-2023,01-30-2023
e95b9c49-9b90-4bfe-b47b-82bd68aba900,Representante comercial,PLENO,Vendas,01-30-2023,01-30-2023
3d56be2c-940d-4ff3-9dce-5fac0c81f4ca,Ferramenteiro,PLENO,TI,01-30-2023,01-30-2023
d8d20405-519e-497c-b099-a7d253987022,Tecnólogo em processos químicos,PLENO,TI,01-30-2023,01-30-2023
16583b2a-10ad-493b-a0b2-789f2c96cd1a,Implantodontista,PLENO,Administrativo,01-30-2023,01-30-2023
