id,employee_id,Salários,Data Inicial,Data FInal,Bonus,Criado_em,Upload_em
38fed4d8-d5c6-451a-ba58-e6956e4e33ca,e3afc66f-dde4-400c-8498-acf3bb8d5ec1,"2100,00",2014-05-23,2022-04-01,,01-31-2023,01-31-2023
a06163b8-9d16-488e-ad11-1c623c059137,e3afc66f-dde4-400c-8498-acf3bb8d5ec1,"2186,31",2022-04-01,2022-05-01,,01-31-2023,01-31-2023
5132ffcb-486d-4fe3-a5a0-1066d27e0991,e3afc66f-dde4-400c-8498-acf3bb8d5ec1,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
3335fee8-d1c2-45be-b26f-691cbb41eea1,2994b773-f15b-4d26-8e07-902cf530d6d4,"2740,00",1981-10-27,2022-04-01,,01-31-2023,01-31-2023
b3534205-9b17-41c3-b06f-ee4fd3a5cb3b,2994b773-f15b-4d26-8e07-902cf530d6d4,"2922,48",2022-04-01,,,01-31-2023,01-31-2023
8a885aac-a74f-408f-b9c1-1c403945375b,f2eb10d5-03aa-4fb0-9ed8-3bc627f5c3d3,"2100,00",1993-06-25,2022-05-01,,01-31-2023,01-31-2023
84acab46-5d63-4123-ae3f-8337d354caa7,f2eb10d5-03aa-4fb0-9ed8-3bc627f5c3d3,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
ed6e8258-a079-4f5c-9257-2b575a5d6189,c1379714-b908-4fca-812c-ced133d86d3b,"2100,00",2006-02-02,2022-04-01,,01-31-2023,01-31-2023
c8e527dd-017d-4a33-98e9-f3fb598efd7f,c1379714-b908-4fca-812c-ced133d86d3b,"2186,31",2022-04-01,2022-04-02,,01-31-2023,01-31-2023
1282ed81-9bad-43b0-9e5e-5210dfbcff16,c1379714-b908-4fca-812c-ced133d86d3b,"3300,00",2022-04-02,2022-05-01,,01-31-2023,01-31-2023
aec5d4f6-67e2-49a7-b7a6-d4d0e01b2e4e,c1379714-b908-4fca-812c-ced133d86d3b,"3435,63",2022-05-01,,,01-31-2023,01-31-2023
c16637f8-520f-45b8-a930-c4b0664f7194,30c90ab3-3692-4ad6-bcb4-edc5994a4428,"2100,00",2018-09-08,2022-04-01,,01-31-2023,01-31-2023
43a224cb-50d9-4bd0-8cea-807b8a7b545d,30c90ab3-3692-4ad6-bcb4-edc5994a4428,"2151,45",2022-04-01,2022-05-01,,01-31-2023,01-31-2023
e098bd07-da14-40b4-a465-8ecbda8b6fa1,30c90ab3-3692-4ad6-bcb4-edc5994a4428,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
b1614f53-21ac-4c04-96de-f95cda21f9c5,3dff2734-8fef-427a-8f5a-62c3dcb93063,"2100,00",1989-09-25,2022-04-01,,01-31-2023,01-31-2023
5c24da0c-cfb2-4a39-9fda-7eaf14f0e200,3dff2734-8fef-427a-8f5a-62c3dcb93063,"2186,31",2022-04-01,2022-05-01,,01-31-2023,01-31-2023
8aab6291-3872-40d9-bfef-8e1e2abba4d1,3dff2734-8fef-427a-8f5a-62c3dcb93063,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
d037dea7-7a70-4ecd-9d7d-ce6977f636a1,9551745a-5312-4c38-b786-f9f090ad5281,"2740,00",1988-07-16,2022-04-01,,01-31-2023,01-31-2023
72e67125-a6f4-4cee-831a-321d6b5868fa,9551745a-5312-4c38-b786-f9f090ad5281,"2922,48",2022-04-01,,,01-31-2023,01-31-2023
daa964e3-5635-4c0e-bda3-1847df6f1f8e,db07bef6-c827-44c0-80da-46f09723ed8f,"2100,00",2021-02-05,2022-05-01,,01-31-2023,01-31-2023
2a3d3e1f-d9c2-4dac-9864-60f6c674c8a6,db07bef6-c827-44c0-80da-46f09723ed8f,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
4ad4e5e1-9416-44ef-9479-e0ade2da1974,34e2b5d7-f121-4776-aac4-b085cf2117ed,,2021-10-26,,,01-31-2023,01-31-2023
fcd909e8-946e-4070-a290-3ccc3ea69dfa,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,"2100,00",2012-11-23,2022-04-01,,01-31-2023,01-31-2023
32438224-c45f-48e2-bc9c-c936b02c5eca,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,"2186,31",2022-04-01,2022-04-02,,01-31-2023,01-31-2023
e04b8d52-a87c-4b2f-b194-d22019a841c9,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,"3300,00",2022-04-02,2022-05-01,,01-31-2023,01-31-2023
a58ff400-1154-4231-8acb-17fb06ec00f7,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,"3435,63",2022-05-01,,,01-31-2023,01-31-2023
3ad5f2ff-892a-4487-99b4-aeadacc91553,545d55c0-62f8-42d0-930d-f83866b44b60,"2100,00",1974-10-30,2022-04-01,,01-31-2023,01-31-2023
f4c71a28-bf1e-4cbf-9b97-ecb2c6cc2107,545d55c0-62f8-42d0-930d-f83866b44b60,"2151,45",2022-04-01,2022-05-01,,01-31-2023,01-31-2023
9e76700c-f98f-4584-aa34-046070cfe9e3,545d55c0-62f8-42d0-930d-f83866b44b60,"2276,40",2022-05-01,,,01-31-2023,01-31-2023
fc7b938e-189f-4bc0-9d02-e75b8549b661,c61aa954-e38b-4a21-b283-2ae0126b11c0,"2100,00",2017-04-11,2022-04-01,,01-31-2023,01-31-2023
